what is potential energy,I
what is a rainbow lorikeet,I
what is an explosion,I
what are apes,I
get me some stuff on Delhi,I
get us some stuff on electromagnetism,I
get me some information on Neptune,I
get us some information on demon slayer,I
can you help us with some information about Google,I
tell me about electrocution,I
tell us about Euiler's theory,I
teach me about quantitative analysis,I
teach us about reinforcement machine learning,I
Is cucumber a fruit?,II
Has anyone been able to buy a PS5 yet?,II
How can I make sure my poster keeps sticking to the wall?,II
Can you give me the best recipe for fried chicken?,II
What genre is Demon Slayer?,II
Any cool events happening in Melbourne soon?,II
What are people saying about Joe Rogan?,III
What are conservative people saying about the vaccine mandates?,III
What do liberals think about abortion?,III
"I don't get it, why don’t electrons fall into nuclei?",IV
Why can't I just go to the moon?,IV
Why can there not be aliens on the moon?,IV
Can you explain why birds are able to fly?,IV
Explain how can a sloth survive while being so lazy?,IV
